NODE NAME,DEGREE
<class 'stix.common.kill_chains.KillChainPhaseReference'>@@Kill_Chain_Phase,6
<type 'NoneType'>@@refanging_transform,2
<class 'stix.common.kill_chains.KillChainPhase'>@@Kill_Chain_Phase,4
<type 'NoneType'>@@Keywords,1
<type 'NoneType'>@@Description,1
<class 'stix.common.vocabs.IndicatorType_1_1'>@@Type,5
<type 'NoneType'>@@Profiles,1
<class 'mixbox.typedlist.TypedList'>@@Sighting,2
<type 'NoneType'>@@object_reference,3
<type 'NoneType'>@@Received_Time,1
<type 'bool'>@@negate,3
<type 'NoneType'>@@End_Time,1
<type 'NoneType'>@@Pattern_Fidelity,1
<type 'str'>@@timestamp_precision,2
<class 'stix.core.Indicators'>@@Indicators,3
<class 'cybox.core.observable.Observable'>@@Observable,13
<type 'str'>@@phase_id,3
<type 'str'>@@reference,2
<type 'NoneType'>@@is_spoofed,2
<class 'stix.indicator.indicator.Indicator'>@@Indicators,30
<type 'NoneType'>@@X_Priority,1
<type 'NoneType'>@@is_defanged,2
<type 'NoneType'>@@Campaigns,1
<class 'stix.common.kill_chains.KillChain'>@@Kill_Chain,7
<class 'stix.common.kill_chains._KillChainPhaseReferenceList'>@@Kill_Chain_Phase,2
<class 'stix.common.information_source.InformationSource'>@@Information_Source,8
<type 'NoneType'>@@Observable_Composition,1
<type 'int'>@@sightings_count,1
<class 'cybox.common.datetimewithprecision.DateTimeWithPrecision'>@@Produced_Time,3
<type 'NoneType'>@@User_Agent,1
<type 'NoneType'>@@idref,10
<type 'str'>@@delimiter,2
<type 'NoneType'>@@is_destination,2
<class 'stix.common.kill_chains.KillChainPhaseReference'>@@Kill_Chain_Phases,6
<type 'NoneType'>@@Reports,1
<type 'NoneType'>@@Event,1
<type 'NoneType'>@@Contributing_Sources,1
